"","mission.corp6"
"453783047 2017"," conduct clinical research   area  health  nutrition  provide education   resulting health benefits   research   activity  may  lawfully done   nonprofit corporation   laws governing nonprofit organization operating   united_states pennsylvania  california"
"453796970 2017","enhancing  lives   touched  breast  women's cancers  regular support meetings education wellness programming celebration  networking"
"453823342 2016","onpoint leadership  developed  leadership training  girls 10-17 years  age"
"453943245 2016","tomorrows leaders nyc inc primary exempt purpose   help over-age middle school students overcome social emotional  academic challenges  order  become positive  productive leaders   community"
"453949179 2016"," general purpose shall   advancement  betterment  fire protection   residents   town  odessa   surrounding area lincoln county washington   purchasing installation maintenance licensing  operation   necessary equipment incidental thereto      lawful acts necessary  achieve  general purpose"
"453994836 2017"," provide human milk  improve infant health  save lives"
"454039543 2017","promoting  gospel  jesus christ"
"454051413 2015","provide educational services  students enrolled   milwaukee parental choice program administered   wisconsin department  public instructions"
"454072144 2017"," establish  global think-tank  investigate  provide solutions  environmental problems  importantly pullution problems  water  air   healthy environment  air  water humanity will   greatest possibilitiy  reaching  optimal potential"
"454112553 2017","  help  youth within  community  help  food bank"
"454113166 2016","pickup soccer youth outreach inc   501c3 recreational athletic public youth outreach charity located located   manhattan borough  new york city  conducts charitable community outreach programs  activities  benefit under-served youth   age  19  reside   local community    low-income economic backgrounds    mission  year  organization holds  day-long coaching training session  educate  prepare  volunteer coaches"
"454329604 2016","public library  historical museum"
"454337302 2017"," brooklyn institute  social research provides leberal arts educational opportunities  local communities    time  provides material  intellectual support  space  young scholars  teach write research publish  put simply work"
"454337302 2016"," brooklyn institute  social research provides liberal arts educational opportunities  local communities    time  provides material  intellectual support  space  young scholars  teach write research publish  put simply work"
"454368237 2015","councils exist  serve   conferences  coordinate  help  conferences  develop  spiritual life  intensify  service   diversify  activities    may always  responsive   needs    suffer"
