"","programs.corp6"
"471826429 2015","organization  student activities  organization  made several mission trips  jamaica   sponsored back  school programs  underpriviledged children.the organization established junior ambassador programs   maryland  florida  programs give high school students  opportunity  volunteer   can receive hours  training"
"471828020 2016"," provide funding  support northport high school academy offinance    local chapter   national academy foundation.in    aim   elevate  opportunities available tothe students   program  expand  educational andprofessional development furthermore   committed  buildingand fostering productive  mutually advantageous relationships withindividuals  businesses within  community"
"471832459 2014","2014   organization's first year  low results  expected however  organization  able  help  large number  students  members   teaching staff  begin  reach  stated objective   organization    short period  time  measurable improvement   learning environment   well    students  staff   observed  organization  well   way obtaining even better results  2015"
"471832860 2016","spay  neuter costs  related expenses"
"471838540 2015"," teach  spread  game  lacrosse  young kids  small communitiesthroughout  world    kids lacrosse  world will also teach young kids english  help    given communities  problems  currently plague  living situations  hope  enrich lives  kids  provide  hope   better future   instructions  teachings    game  lacrosse stands "
"471844344 2016","housing  met inspection  regulations 2600"
"471846253 2016","pool rental"
"471847599 2016","promote  support conservation  youth education advocacy  scientific wildlife conservation  related humanatarian programs"
"471853847 2016","cacfp-provides reimbursement  meals  snacks served  small groups  children receiving nonresidential day care  private homes   licensed registered  approved  provide family child care"
"471854856 2014","started organization  2014   successful gala fundraiser  raise money   theatrical production  take place  2015  will bring together professional performers  amateur community members"
"471859327 2017","educational activities regarding abstinence"
"471862610 2015"," provide assistance  combat veterans  transition  military service   related injuries"
